Band	Tier
Tennyson	1
Meshuggah	1
Haken	1
Jacob Collier	1
David Maxim Micic	1
Periphery	2
Animals As Leaders	2
Sevek	2
Radiohead	2
Tigran Hamasyan	2
Zedd	2
MXXWLL	2
Lil Nas X	2
Disclosure	2
Louis Cole	2
Anomalie	2
Charlie Curtis-Beard	2
TesseracT	2
Plini	2
Polyphia	2
Ariana Grande	2
Vulfpeck	2
Mick Gordon	3
Dream Theater	3
Hiatus Kaiyote	3
Moonchild	3
Foo Fighters	3
System Of A Down	3
Seelo	3
Maurizio Pollini	3
Snarky Puppy	3
Macross 82-99	3
Transatlantic	3
TOOL	3
Miguel Migs	4
AJR	4
Bruno Mars	4
RAYE	4
Madeon	4
Ichika	4
Marcin	4
Billy Talent	4
Infected Mushroom	4
Queens of the Stone Age	4
Mike Shinoda	4
Bee Gees	5
Sam Smith	5
deadmau5	5
Andrew Hulshult	5
Arch Echo	5
Woody Goss	5
H.E.R.	5
Primus	5
Aperture Science Psychoacoustic Laboratories	5
Craig Xen	5
Miracle Musical	5
thrown	6
Christopher Larkin	6
Monuments	6
Ark Patrol	6
Jerry Folk	6
Harry Styles	6
Coubo	6
James Ehnes	6
Thundercat	7
Theo Katzman	7
Gramatik	7
Bill Laurance	7
Medasin	4
Yoshihisa Hirano	7
Harris Cole	7
May Erlewine	8
DOMi & JD BECK	8
Lackmus	8
Maurizio Pollini	8
Jack Garratt	8
Lamb Of God	8
LV	9
Mr. Carmack	9
Antônio Carlos Jobim	9
James Ehnes	9
Major Parkinson	9
Billie Eilish	9
Muse	9
Tom Misch	10
Justice	10
Bring Me The Horizon	10
Austin Wintory	10
ABBA	10
Mat Zo	10
The M Machine	10
Bitter Ruin	10
Abhi The Nomad	6
Anika Nilles	5
Billy Cobham	10
Billy Preston	10
Choir Of King's College, Cambridge	10
Cory Wong	3
Damon Albarn	10
Dan Mayo	3
Danae Greenfield	6
Darren Korb	5
Dave Koz	5
Dave Mackay	10
Dua Lipa	4
Eagles of Death Metal	4
Electric Mantis	3
Hans Zimmer	8
Haywyre	3
Headspace	9
Joey Alexander	7
Julio Bashmore	7
Justin Timberlake	3
Laura Mvula	4
LCD Soundsystem	9
Mac Ayres	7
Maxo	7
Mosca	7
Mother Mother	6
Nine Inch Nails	6
OLIVER	6
Paris Monster	9
Pryapisme	4
Ruslan Sirota	6
Sam Wills	4
Sergei Rachmaninoff	7
Serj Tankian	8
Shag	13
Shai Maestro	13
Solstice Coil	5
Sparkee	8
Sungazer	3
Taylor McFerrin	3
The Academy Of Ancient Music	8
The Reign of Kindo	4
The Safety Fire	4
Todd Rundgren	10
Unprocessed	3
Vampire Weekend	5
Veil of Maya	4
Wallace	6
Wayne Shorter	8
Yakul	6
Yaron Herman	11
Yoni Rechter	13
Point Point	3
Manuel Gardner Fernandes	4
MAX	3
Primus	3
